model,seed,video_id,transformation,prob_fake,correct,SO,IoU,saliency_mass,hit_rate,saliency_entropy,faithfulness,faithfulness_blur,faithfulness_zero,faithfulness_mean,ES_cos,explanation_IoU
xception,2024,033_097,brightening_sev1,0.3186685030737844,0.2942733990147783,0.1331477575151133,0.09475593416987547,0.13743300129274913,0.10439244663382591,12.532173778975539,-0.08225494345245479,-0.08225494345245479,0.2805755056917835,0.26977292880879494,0.8200497305746348,0.5512202037786911
xception,2024,033_097,brightening_sev2,0.15236613921999387,0.11499384236453195,0.09957382754289977,0.06580545147264177,0.10190745793072645,0.0719930213464696,12.720096661392692,-0.17379506930956973,-0.17379506930956973,0.12944902018204837,0.1204926857554911,0.7061953699572121,0.47100448715521465
xception,2024,033_097,brightening_sev3,0.11025233679763265,0.05683497536945807,0.06770930087349686,0.04324316914113752,0.07787021407816015,0.03665845648604267,12.83412132404121,-0.13372480504727766,-0.13372480504727766,0.08778652415508763,0.07882128942126587,0.6627166848996192,0.4724833575563183
xception,2024,033_097,clean,0.754488611414345,0.7830357142857143,0.16580263795105415,0.1216419643939846,0.1792812963277731,0.18195812807881767,12.388438135532324,0.11838097414560957,0.11838097414560957,0.6609039257180493,0.6340606308287425,,
xception,2024,033_097,darkening_sev1,0.80126832365477,0.8279248768472907,0.17825923577581593,0.12788113275800328,0.18956955277863624,0.20648604269293921,12.317667835627873,0.1039919519642416,0.1039919519642416,0.7034019692165512,0.6941138736667898,0.9810766875376203,0.8356530691807577
xception,2024,033_097,darkening_sev2,0.8915631810372944,0.8952586206896551,0.2272033213594031,0.1626268486980753,0.23638840794382823,0.2691810344827586,12.041647762206974,0.053529081759536225,0.053529081759536225,0.7721614549176772,0.7742575018104895,0.8718814501423859,0.627444866442856
xception,2024,033_097,darkening_sev3,0.9792796526985068,0.9850369458128078,0.28573295685775346,0.20408403836008265,0.29272134448440734,0.34551518883415433,11.686871223819667,0.0405127498022455,0.0405127498022455,0.8416329100306101,0.8434911146603141,0.668250975962514,0.4290475046697846
xception,2024,033_097,jpeg_sev1,0.3204682429825553,0.2618842364532019,0.11505860321770017,0.08539257792096613,0.1310036489085002,0.0874384236453202,12.571736478130218,0.06998996649656737,0.06998996649656737,0.28122838301429065,0.2687458377999772,0.7758722267088698,0.5764081679078676
xception,2024,033_097,jpeg_sev2,0.04497819289626298,0.0295566502463054,0.04756384251566258,0.028382985613291924,0.062435783266586824,0.01600985221674875,12.804218162955909,0.013218837710771375,0.013218837710771375,0.04077870415860797,0.0403654641450595,0.6195134947716799,0.4470604672352044
xception,2024,033_097,jpeg_sev3,0.003015405610564075,0.0,0.0444093227037716,0.02585463451873105,0.04814778243488053,0.04583333333333332,12.956711047564822,0.001709161129510175,0.001709161129510175,0.00231927713507815,0.002446688426689925,0.547092085816355,0.25700061860663737
xception,2024,033_097,resize_sev1,0.9956268117712636,1.0,0.3035731205033317,0.22327646017130748,0.3060291501648893,0.355931855500821,11.698069241716357,0.0289179922237515,0.0289179922237515,0.8092977277159213,0.8023903143525656,0.6313169265886762,0.4029959796274215
xception,2024,033_097,resize_sev2,0.898831606823022,0.9177032019704432,0.2541735495752895,0.18527256873283868,0.25811089203369236,0.2852832512315271,12.036095485781214,0.07304496752078703,0.07304496752078703,0.7320630517962889,0.7248014947207096,0.7255398752181658,0.4645042944352226
xception,2024,033_097,resize_sev3,0.8077080034007424,0.8329433497536946,0.22461094555464517,0.1640693559604855,0.22383455386708345,0.225615763546798,12.1938111072397,-0.08547998862513077,-0.08547998862513077,0.5244851714339602,0.5311957168664664,0.7517334902497889,0.4995251077734664
xception,2024,097_033,brightening_sev1,0.891568777089578,0.9134236453201972,0.19132072819533574,0.1421862898787888,0.19424007793239614,0.22454844006568142,11.905499571767345,0.036775055295759626,0.036775055295759626,0.7672013202751389,0.7206483831466183,0.9260996831724297,0.8254534838351195
xception,2024,097_033,brightening_sev2,0.7588239034353652,0.7852832512315271,0.1472133226057194,0.10393858502573812,0.14884916297657474,0.15863095238095234,12.15358618988192,0.06427222538123566,0.06427222538123566,0.6770448051461988,0.6410894937679439,0.7706606589486791,0.6269885753851451
